Date,Open,High,Low,Close,Adj Close,Volume
2026-04-23,268.43,270.7,266.58,268.08,268.08,51618153
2026-04-24,266.76,268.1,266.47,267.53,267.53,57056764
2026-04-27,269.67,269.94,266.17,268.61,268.61,37382357
2026-04-28,270.84,271.18,267.28,269.75,269.75,80430164
2026-04-29,271.17,271.31,268.39,270.17,270.17,42904069
2026-04-30,268.34,268.98,266.95,268.65,268.65,83365056
2026-05-01,271.6,274.5,270.76,272.76,272.76,48630084
2026-05-04,279.04,279.31,275.96,278.01,278.01,67872680
2026-05-05,280.98,282.02,279.24,281.15,281.15,48781337
2026-05-06,280.73,282.86,279.12,279.61,279.61,50428653
2026-05-07,281.75,281.91,278.35,280.64,280.64,56023265
2026-05-08,283.41,285.46,280.49,282.56,282.56,51099248
2026-05-11,288.57,289.84,286.19,289.06,289.06,49677069
2026-05-12,289.36,290.02,287.52,289.64,289.64,43480473
2026-05-13,290.66,292.43,288.25,289.82,289.82,47433196
2026-05-14,292.4,294.45,291.3,292.84,292.84,74010202
2026-05-15,292.89,295.89,290.55,293.68,293.68,69626632
2026-05-18,299.5,301.36,297.18,299.36,299.36,45889464
2026-05-19,299.37,301.4,298.11,298.32,298.32,47457080
2026-05-20,300.81,301.59,300.18,300.34,300.34,36222869
2026-05-21,301.87,302.4,300.7,301.7,301.7,50608046
2026-05-22,300.58,303.45,298.53,301.55,301.55,38125354
2026-05-25,308.85,310.89,306.1,308.57,308.57,44818159
2026-05-26,311.16,313.64,309.52,309.98,309.98,46145552
2026-05-27,310.2,312.15,308.67,311.06,311.06,83329753
2026-05-28,312.55,313.54,311.5,312.51,312.51,73337315
2026-05-29,313.61,315.57,310.27,312.7,312.7,75056064
2026-06-01,313.12,314.04,310.42,312.54,312.54,62453447
2026-06-02,315.67,318.0,313.09,315.2,315.2,50152994
2026-06-03,314.14,316.3,312.43,313.65,313.65,43083123
2026-06-04,312.5,313.97,311.4,312.84,312.84,61733262
2026-06-05,310.73,313.13,309.97,311.23,311.23,57937902
2026-06-08,310.16,312.07,309.18,309.42,309.42,82661694
2026-06-09,310.09,310.44,307.17,309.35,309.35,44306167
2026-06-10,311.53,313.8,308.6,310.65,310.65,35635605
2026-06-11,308.15,309.46,304.66,307.16,307.16,42479821
2026-06-12,306.39,308.47,303.87,306.36,306.36,73138329
2026-06-15,303.09,303.96,301.66,303.09,303.09,77758171
2026-06-16,300.12,302.37,297.45,299.4,299.4,75968150
2026-06-17,301.68,302.71,298.95,301.32,301.32,35067661
2026-06-18,301.0,301.13,298.38,300.52,300.52,75414423
2026-06-19,303.92,306.19,302.52,303.21,303.21,42585153
2026-06-22,297.39,297.71,295.27,296.45,296.45,58335437
2026-06-23,295.88,297.14,295.47,296.27,296.27,65554810
2026-06-24,294.55,297.23,292.16,294.85,294.85,45466615
2026-06-25,291.25,294.6,289.7,292.22,292.22,69861938
2026-06-26,294.96,296.44,294.12,294.77,294.77,78914246
2026-06-29,290.3,293.03,288.59,291.41,291.41,54678830
2026-06-30,289.28,290.54,287.7,289.36,289.36,37966422
